,UNITID,NAME,CITY,STATE,ZIP,REGION,LOCALE,COSTT4_A,NPT4_PRIV,DEBT_MDN,FAMINC,ADM_RATE,SAT_AVG,UGDS,RET_FT4_POOLED,UGDS_WHITE,COST_CATEGORY
206,143084,Augustana College,Rock Island,IL,61201-2296,3,13.0,52923.0,23310.0,26000.0,101517.56354,0.6369,,2529.0,0.8714,0.6975,Middle cost
207,143118,Aurora University,Aurora,IL,60506-4892,3,21.0,34650.0,17613.0,16250.0,60291.360663,0.8116,1068.0,3944.0,0.7442,0.483,Middle cost
208,143288,Blackburn College,Carlinville,IL,62626,3,32.0,30605.0,15949.0,15250.0,41564.886473,0.5155,1050.0,561.0,0.6242,0.7576,Middle cost
209,143358,Bradley University,Peoria,IL,61625-0001,3,12.0,46304.0,24706.0,21000.0,92115.841379,0.6681,1212.0,4598.0,0.8403,0.7273,Middle cost
210,144050,University of Chicago,Chicago,IL,60637,3,11.0,75735.0,26160.0,15000.0,100617.13196,0.0726,1520.0,6600.0,0.9883,0.393,Higher cost
211,144281,Columbia College Chicago,Chicago,IL,60605-1996,3,11.0,42413.0,30924.0,19424.0,72793.009147,0.8675,,6496.0,0.6685,0.5323,Middle cost
212,144351,Concordia University-Chicago,River Forest,IL,60305-1499,3,21.0,40076.0,16403.0,16250.0,61554.384961,0.76,1102.0,1463.0,0.6391,0.4491,Middle cost
213,144740,DePaul University,Chicago,IL,60604,3,11.0,54439.0,28410.0,19780.0,74921.306181,0.6753,,14280.0,0.8475,0.5244,Middle cost
214,144883,East-West University,Chicago,IL,60605,3,11.0,28640.0,17683.0,9168.0,21083.018349,,,394.0,0.3881,0.0279,Middle cost
215,144962,Elmhurst College,Elmhurst,IL,60126-3296,3,21.0,46130.0,21304.0,16532.0,68003.76402,0.6736,1113.0,2799.0,0.769,0.6045,Middle cost
216,144971,Eureka College,Eureka,IL,61530,3,31.0,35575.0,20848.0,15250.0,71418.571788,0.5728,1067.0,557.0,0.6718,0.8205,Middle cost
217,145372,Greenville University,Greenville,IL,62246,3,32.0,39165.0,20613.0,16125.0,62611.993174,0.4839,1057.0,938.0,0.7105,0.6631,Middle cost
218,145497,Hebrew Theological College,Skokie,IL,60077,3,13.0,33344.0,26191.0,8897.0,50317.151515,0.9286,1100.0,87.0,0.9211,0.9425,Middle cost
219,145619,Benedictine University,Lisle,IL,60532-0900,3,21.0,44385.0,24865.0,18750.0,64085.528805,0.6283,1110.0,2692.0,0.7264,0.4194,Middle cost
220,145646,Illinois Wesleyan University,Bloomington,IL,61702-2900,3,13.0,59482.0,28356.0,23750.0,111976.91558,0.5855,1247.0,1686.0,0.8992,0.6957,Higher cost
221,145691,Illinois College,Jacksonville,IL,62650-2299,3,32.0,42221.0,16625.0,20500.0,67598.44592,0.7593,,971.0,0.7691,0.724,Middle cost
222,145725,Illinois Institute of Technology,Chicago,IL,60616,3,11.0,60112.0,21917.0,19402.0,60579.291053,0.5818,1318.0,2924.0,0.8817,0.3635,Higher cost
223,146339,Judson University,Elgin,IL,60123-1498,3,12.0,40849.0,20498.0,15375.0,60705.377897,0.7101,1086.0,999.0,0.7052,0.4775,Middle cost
224,146427,Knox College,Galesburg,IL,61401-9999,3,32.0,56451.0,21359.0,24498.0,75120.396584,0.7421,,1318.0,0.8411,0.4765,Higher cost
225,146481,Lake Forest College,Lake Forest,IL,60045-2399,3,21.0,58232.0,24923.0,25000.0,85705.652027,0.5792,,1466.0,0.8415,0.575,Higher cost
226,146612,Lewis University,Romeoville,IL,60446-2200,3,21.0,39946.0,18531.0,19500.0,71415.377049,0.5776,1142.0,4217.0,0.8125,0.5902,Middle cost
227,146667,Lincoln Christian University,Lincoln,IL,62656-2111,3,32.0,25766.0,17727.0,17855.0,52255.915254,0.6351,1113.0,398.0,0.8357,0.8492,Middle cost
228,146676,Lincoln College,Lincoln,IL,62656,3,32.0,30455.0,15393.0,10500.0,41090.869087,0.7953,809.0,960.0,0.5174,0.4042,Middle cost
229,146719,Loyola University Chicago,Chicago,IL,60660,3,11.0,57297.0,34024.0,19500.0,87753.290646,0.6792,1261.0,11727.0,0.8417,0.5479,Higher cost
230,146816,MacCormac College,Chicago,IL,60602-4405,3,11.0,19680.0,14970.0,14250.0,24988.680556,,,295.0,,0.1593,Lower cost
231,146825,MacMurray College,Jacksonville,IL,62650-2590,3,32.0,36602.0,14719.0,22250.0,60616.34903,0.5535,1024.0,548.0,0.6787,0.7263,Middle cost
232,147013,McKendree University,Lebanon,IL,62254-1291,3,21.0,41911.0,19371.0,16682.0,62899.26754,0.6663,1149.0,1924.0,0.768,0.6169,Middle cost
233,147129,Methodist College,Peoria,IL,61615,3,12.0,34875.0,30592.0,26500.0,55342.411268,0.3919,1015.0,687.0,0.9062,0.7889,Middle cost
234,147244,Millikin University,Decatur,IL,62522-2084,3,13.0,46026.0,20560.0,20000.0,66334.066599,0.6126,1125.0,1918.0,0.7723,0.6867,Middle cost
235,147341,Monmouth College,Monmouth,IL,61462-1998,3,32.0,47726.0,17009.0,22473.0,70047.596869,0.6937,1114.0,901.0,0.7279,0.6482,Middle cost
236,147369,Moody Bible Institute,Chicago,IL,60610-3284,3,11.0,27798.0,19718.0,6500.0,30343.179173,0.9507,,2385.0,0.8015,0.5807,Middle cost
237,147396,Morrison Institute of Technology,Morrison,IL,61270-2959,3,32.0,26202.0,19775.0,12000.0,53585.1875,,,116.0,,0.8017,Middle cost
238,147536,National Louis University,Chicago,IL,60603,3,11.0,22927.0,14303.0,12500.0,33141.15651,0.8583,,2960.0,0.6355,0.2128,Middle cost
239,147660,North Central College,Naperville,IL,60540,3,12.0,49461.0,23599.0,19500.0,88202.239394,0.5568,1083.0,2641.0,0.8037,0.6467,Middle cost
240,147679,North Park University,Chicago,IL,60625-4895,3,11.0,36759.0,19707.0,19899.0,61726.71133,0.4658,1080.0,1967.0,0.7298,0.3884,Middle cost
241,147767,Northwestern University,Evanston,IL,60208,3,13.0,72960.0,24840.0,14500.0,95373.666865,0.0847,1508.0,8451.0,0.9787,0.4546,Higher cost
242,147828,Olivet Nazarene University,Bourbonnais,IL,60914-2271,3,23.0,46147.0,20007.0,18000.0,76972.085143,0.6506,1129.0,3209.0,0.7682,0.7479,Middle cost
243,148131,Quincy University,Quincy,IL,62301-2699,3,33.0,39884.0,13869.0,12000.0,64558.657895,0.6815,1079.0,916.0,0.6353,0.5655,Middle cost
244,148335,Robert Morris University Illinois,Chicago,IL,60605,3,11.0,37711.0,23010.0,14500.0,44732.686449,0.634,,1653.0,0.4815,0.3073,Middle cost
245,148405,Rockford University,Rockford,IL,61108-2311,3,12.0,40569.0,21436.0,18750.0,53551.674061,0.4903,1088.0,972.0,0.6613,0.5957,Middle cost
246,148487,Roosevelt University,Chicago,IL,60605-1394,3,11.0,43501.0,22702.0,18468.0,50808.913104,0.6485,1123.0,2377.0,0.6897,0.4375,Middle cost
247,148496,Dominican University,River Forest,IL,60305,3,21.0,41118.0,17806.0,20500.0,51778.397918,0.6379,1064.0,2098.0,0.8195,0.295,Middle cost
248,148584,University of St Francis,Joliet,IL,60435-6188,3,21.0,40305.0,18355.0,19725.0,69402.396936,0.4678,1129.0,1590.0,0.7973,0.6006,Middle cost
249,148627,Saint Xavier University,Chicago,IL,60655,3,11.0,40553.0,14643.0,18500.0,49967.736502,0.7395,1061.0,2943.0,0.7319,0.4054,Middle cost
250,148876,Saint Augustine College,Chicago,IL,60640-3501,3,11.0,19146.0,8702.0,3590.0,21427.859466,,,1076.0,0.0,0.0121,Lower cost
251,149329,Telshe Yeshiva-Chicago,Chicago,IL,60625,3,11.0,18100.0,4960.0,,47170.153846,1.0,,77.0,0.9091,0.987,Lower cost
252,149505,Trinity Christian College,Palos Heights,IL,60463-0929,3,21.0,41697.0,22970.0,22116.0,66200.800648,0.6423,1088.0,974.0,0.8286,0.5975,Middle cost
253,149514,Trinity International University-Illinois,Deerfield,IL,60015-1283,3,21.0,44084.0,19530.0,16000.0,57731.865613,0.7303,1095.0,699.0,0.6211,0.5794,Middle cost
254,149639,VanderCook College of Music,Chicago,IL,60616-3731,3,11.0,37568.0,22267.0,27000.0,66916.893617,0.931,1186.0,78.0,0.8056,0.5,Middle cost
255,149781,Wheaton College,Wheaton,IL,60187-5593,3,21.0,47644.0,26180.0,20500.0,117081.60665,0.8265,1340.0,2364.0,0.9272,0.7229,Middle cost
256,150048,Ancilla College,Donaldson,IN,46513-0001,3,42.0,25730.0,14535.0,8000.0,45392.285714,0.6921,918.0,369.0,,0.5962,Middle cost
257,150066,Anderson University,Anderson,IN,46012-3495,3,13.0,42555.0,23209.0,20000.0,69729.815418,0.6502,1094.0,1392.0,0.6905,0.806,Middle cost
258,150145,Bethel University,Mishawaka,IN,46545-5591,3,13.0,39450.0,19496.0,18750.0,56255.525358,0.9233,1086.0,1244.0,0.75,0.6712,Middle cost
259,150163,Butler University,Indianapolis,IN,46208,3,11.0,56406.0,35488.0,23000.0,128612.29469,0.6783,1276.0,4553.0,0.89,0.8228,Higher cost
260,150172,Calumet College of Saint Joseph,Whiting,IN,46394,3,21.0,22470.0,10113.0,13000.0,44777.323834,,,519.0,0.5306,0.3179,Middle cost
261,150400,DePauw University,Greencastle,IN,46135-1772,3,32.0,62567.0,23873.0,23250.0,101778.52202,0.626,1239.0,2141.0,0.903,0.6623,Higher cost
262,150455,Earlham College,Richmond,IN,47374-4095,3,32.0,58618.0,19478.0,17986.0,70849.462366,0.6522,1294.0,1025.0,0.8427,0.519,Higher cost
263,150534,University of Evansville,Evansville,IN,47722,3,12.0,48967.0,22661.0,19500.0,79599.978177,0.6948,1203.0,2018.0,0.8488,0.7398,Middle cost
264,150604,Franklin College,Franklin,IN,46131-2623,3,21.0,43230.0,21563.0,21987.0,84258.248555,0.7544,1083.0,925.0,0.758,0.8735,Middle cost
265,150668,Goshen College,Goshen,IN,46526-4794,3,13.0,44481.0,18164.0,14375.0,67310.850962,0.6603,1124.0,825.0,0.7525,0.5891,Middle cost
266,150677,Grace College and Theological Seminary,Winona Lake,IN,46590-1274,3,32.0,33677.0,20260.0,17250.0,70625.305842,0.8179,1148.0,1353.0,0.8166,0.8455,Middle cost
267,150756,Hanover College,Hanover,IN,47243,3,32.0,50450.0,21121.0,19500.0,84113.434156,0.7934,1178.0,1099.0,0.7665,0.737,Middle cost
268,150774,Holy Cross College,Notre Dame,IN,46556-0308,3,21.0,43289.0,24666.0,11500.0,82606.960526,0.8827,1270.0,498.0,0.4275,0.6305,Middle cost
269,150941,Huntington University,Huntington,IN,46750,3,32.0,36938.0,19938.0,21500.0,64431.23753,0.8319,1102.0,981.0,0.8116,0.8287,Middle cost
270,151263,University of Indianapolis,Indianapolis,IN,46227-3697,3,11.0,41632.0,20261.0,18500.0,67369.711185,0.6891,1098.0,4487.0,0.7457,0.6753,Middle cost
271,151290,Indiana Institute of Technology,Fort Wayne,IN,46803-1228,3,11.0,39903.0,20285.0,11919.0,24084.987228,0.6318,1013.0,1524.0,0.6172,0.4829,Middle cost
272,151777,Manchester University,North Manchester,IN,46962,3,32.0,43805.0,17979.0,17750.0,69011.14538,0.5932,,1186.0,0.6209,0.7243,Middle cost
273,151786,Marian University,Indianapolis,IN,46222-1997,3,11.0,46512.0,19937.0,18750.0,66541.726269,0.6138,1125.0,2226.0,0.7758,0.7273,Middle cost
274,151801,Indiana Wesleyan University-Marion,Marion,IN,46953-4974,3,32.0,37595.0,19818.0,15000.0,47124.81845,0.6829,1139.0,2647.0,0.7861,0.8417,Middle cost
275,151810,Martin University,Indianapolis,IN,46218-0567,3,11.0,23032.0,14095.0,18495.0,13436.548837,,,244.0,0.5814,0.0369,Middle cost
276,151962,Mid-America College of Funeral Service,Jeffersonville,IN,47130,3,21.0,21906.0,17737.0,11108.0,40665.547368,,,122.0,0.9167,0.7787,Middle cost
277,152080,University of Notre Dame,Notre Dame,IN,46556,3,21.0,69395.0,32096.0,19000.0,134386.61095,0.1771,1502.0,8568.0,0.9805,0.6844,Higher cost
278,152099,Oakland City University,Oakland City,IN,47660-1099,3,32.0,36016.0,14850.0,11500.0,52093.980132,0.497,1013.0,563.0,0.6994,0.7478,Middle cost
279,152318,Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,3,13.0,65031.0,38433.0,24500.0,120003.36672,0.682,1387.0,2073.0,0.9145,0.6565,Higher cost
280,152336,University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,3,11.0,37939.0,17460.0,17750.0,62178.923691,0.9342,1062.0,1774.0,0.7322,0.7734,Middle cost
281,152381,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876-1099,3,41.0,42462.0,16232.0,12000.0,46756.570423,0.721,1027.0,707.0,0.6967,0.8034,Middle cost
282,152390,Saint Mary's College,Notre Dame,IN,46556,3,21.0,54787.0,22200.0,24966.0,107245.79967,0.819,1186.0,1439.0,0.8438,0.7658,Middle cost
283,152497,Saint Elizabeth School of Nursing,Lafayette,IN,47904-9988,3,13.0,30152.0,20028.0,26000.0,64530.238095,1.0,922.0,126.0,,0.8889,Middle cost
284,152530,Taylor University,Upland,IN,46989-1001,3,32.0,45229.0,24306.0,15500.0,86187.446112,0.7764,1211.0,1888.0,0.8772,0.8347,Middle cost
285,152567,Trine University,Angola,IN,46703-1764,3,32.0,47620.0,24727.0,16000.0,68261.493438,0.734,1144.0,2059.0,0.7987,0.7989,Middle cost
286,152600,Valparaiso University,Valparaiso,IN,46383,3,21.0,51215.0,21635.0,21500.0,82939.049832,0.8931,1204.0,3170.0,0.8124,0.7215,Middle cost
287,152673,Wabash College,Crawfordsville,IN,47933-0352,3,32.0,54600.0,20549.0,27000.0,95750.368732,0.6497,1223.0,881.0,0.8655,0.7446,Middle cost
288,152992,Briar Cliff University,Sioux City,IA,51104,4,13.0,42423.0,18336.0,15000.0,57009.004717,,,910.0,0.606,0.5978,Middle cost
289,153001,Buena Vista University,Storm Lake,IA,50588,4,33.0,45332.0,20087.0,16500.0,51688.372549,0.5713,1094.0,1546.0,0.6762,0.7393,Middle cost
290,153108,Central College,Pella,IA,50219,4,32.0,50547.0,21421.0,24529.0,89632.237024,0.6999,1156.0,1076.0,0.7969,0.8597,Middle cost
291,153126,Clarke University,Dubuque,IA,52001-3198,4,13.0,44891.0,23464.0,21250.0,76926.591787,0.8248,1058.0,731.0,0.7313,0.7442,Middle cost
292,153144,Coe College,Cedar Rapids,IA,52402-5092,4,12.0,55101.0,20349.0,22500.0,79877.420821,0.6693,1211.0,1369.0,0.7778,0.6808,Higher cost
293,153162,Cornell College,Mount Vernon,IA,52314-1098,4,31.0,55817.0,27204.0,22500.0,96782.202247,0.6102,1240.0,1022.0,0.8143,0.682,Higher cost
294,153241,Divine Word College,Epworth,IA,52045,4,42.0,19630.0,10364.0,,11056.769231,1.0,,56.0,0.9167,0.0179,Lower cost
295,153250,Dordt University,Sioux Center,IA,51250-1606,4,33.0,43391.0,24513.0,16750.0,98374.75448,0.7316,1219.0,1346.0,0.7857,0.8061,Middle cost
296,153269,Drake University,Des Moines,IA,50311-4505,4,12.0,53507.0,29046.0,19495.0,102913.27962,0.6766,1278.0,2952.0,0.8805,0.7703,Middle cost
297,153278,University of Dubuque,Dubuque,IA,52001,4,13.0,40660.0,23759.0,14750.0,56487.561939,0.7303,998.0,1965.0,0.6296,0.6097,Middle cost
298,153302,Emmaus Bible College,Dubuque,IA,52001-3096,4,13.0,27602.0,15728.0,11584.0,53999.728814,0.9492,1120.0,233.0,0.68,0.7124,Middle cost
299,153320,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023-2152,4,21.0,27873.0,14623.0,7517.0,53622.89916,0.6229,1101.0,261.0,0.75,0.908,Middle cost
300,153366,Graceland University-Lamoni,Lamoni,IA,50140,4,43.0,41130.0,18693.0,15000.0,61309.752116,0.5806,1056.0,1125.0,0.6154,0.6409,Middle cost
301,153375,Grand View University,Des Moines,IA,50316,4,12.0,37623.0,19121.0,18000.0,65150.205773,0.9198,1060.0,1731.0,0.6884,0.6557,Middle cost
302,153384,Grinnell College,Grinnell,IA,50112-1690,4,33.0,65814.0,25358.0,15500.0,90298.834884,0.2438,1450.0,1683.0,0.9395,0.5039,Higher cost
303,153621,Iowa Wesleyan University,Mount Pleasant,IA,52641,4,33.0,39393.0,26702.0,10875.0,46235.056604,0.5802,1044.0,594.0,0.6354,0.4125,Middle cost
304,153825,Loras College,Dubuque,IA,52004-0178,4,13.0,43465.0,18940.0,20500.0,97177.18693,0.9268,1113.0,1361.0,0.7846,0.8134,Middle cost
305,153834,Luther College,Decorah,IA,52101-1045,4,33.0,54045.0,23792.0,26455.0,101763.96602,0.6257,1236.0,1974.0,0.834,0.7928,Middle cost
306,153861,Maharishi University of Management,Fairfield,IA,52557,4,33.0,39730.0,15093.0,15248.0,36433.321839,1.0,,255.0,0.6486,0.3647,Middle cost
307,153977,Mercy College of Health Sciences,Des Moines,IA,50309-1239,4,12.0,26831.0,19941.0,12500.0,59736.961872,0.9505,,724.0,0.5714,0.7873,Middle cost
308,154004,Morningside College,Sioux City,IA,51106-1751,4,13.0,43814.0,23214.0,16242.0,76683.640777,0.5758,1135.0,1240.0,0.7046,0.7347,Middle cost
309,154013,Mount Mercy University,Cedar Rapids,IA,52402-4797,4,12.0,44311.0,20988.0,17298.0,63068.8,0.6281,1120.0,1488.0,0.7085,0.7762,Middle cost
310,154101,Northwestern College,Orange City,IA,51041,4,32.0,43520.0,23406.0,15000.0,85952.141649,0.7143,1183.0,1006.0,0.7598,0.832,Middle cost
311,154174,Palmer College of Chiropractic,Davenport,IA,52803-5287,4,12.0,31935.0,23515.0,8219.0,35225.318841,,,24.0,0.5,0.875,Middle cost
312,154235,Saint Ambrose University,Davenport,IA,52803-2898,4,12.0,44319.0,24895.0,19500.0,80263.644177,0.6269,1132.0,2289.0,0.7918,0.7318,Middle cost
